id,name,price,description,imageURL
1,The Catcher in the Rye,623.53,A gripping tale of mystery and suspense,https://www.example.com/image999.jpg
2,The Great Gatsby,271.01,A poignant coming-of-age novel,https://www.example.com/image495.jpg
3,The Catcher in the Rye,739.13,A thrilling sci-fi journey through space,https://www.example.com/image493.jpg
4,The Great Gatsby,176.24,A chilling psychological thriller,https://www.example.com/image512.jpg
5,1984,735.86,A chilling psychological thriller,https://www.example.com/image552.jpg
6,The Great Gatsby,894.92,A chilling psychological thriller,https://www.example.com/image075.jpg
7,Pride and Prejudice,389.51,A poignant coming-of-age novel,https://www.example.com/image574.jpg
8,To Kill a Mockingbird,203.64,A gripping tale of mystery and suspense,https://www.example.com/image559.jpg
9,To Kill a Mockingbird,422.92,A heartwarming story of love and friendship,https://www.example.com/image944.jpg
10,Pride and Prejudice,714.02,A poignant coming-of-age novel,https://www.example.com/image360.jpg
11,The Catcher in the Rye,746.56,An epic fantasy adventure,https://www.example.com/image148.jpg
12,To Kill a Mockingbird,974.81,A heartwarming story of love and friendship,https://www.example.com/image509.jpg
13,1984,836.45,An epic fantasy adventure,https://www.example.com/image674.jpg
14,The Great Gatsby,897.76,A heartwarming story of love and friendship,https://www.example.com/image944.jpg
15,1984,210.33,A gripping tale of mystery and suspense,https://www.example.com/image158.jpg
16,The Great Gatsby,845.52,An epic fantasy adventure,https://www.example.com/image265.jpg
17,The Catcher in the Rye,559.71,A gripping tale of mystery and suspense,https://www.example.com/image855.jpg
18,1984,826.62,An epic fantasy adventure,https://www.example.com/image633.jpg
19,The Great Gatsby,288.94,A heartwarming story of love and friendship,https://www.example.com/image932.jpg
20,The Great Gatsby,378.6,A gripping tale of mystery and suspense,https://www.example.com/image109.jpg
21,Pride and Prejudice,660.02,A thrilling sci-fi journey through space,https://www.example.com/image736.jpg
22,The Great Gatsby,799.34,A gripping tale of mystery and suspense,https://www.example.com/image927.jpg
23,Pride and Prejudice,627.29,A chilling psychological thriller,https://www.example.com/image279.jpg
24,The Great Gatsby,444.16,A poignant coming-of-age novel,https://www.example.com/image572.jpg
25,The Great Gatsby,629.87,An epic fantasy adventure,https://www.example.com/image287.jpg
